,codigo_postal,localidad,province
513,3302,AGUARA CUA,Corrientes
514,3304,BARRIO DON SANTIAGO,Misiones
515,3306,CENTINELA,Corrientes
516,3308,CANDELARIA,Misiones
517,3309,ARROYO TOMAS,Misiones
518,3311,ARROYO ISABEL,Misiones
519,3313,ARROYO DEL MEDIO,Misiones
520,3315,CAA YARI,Misiones
521,3316,ARROYO PASTORA,Misiones
522,3317,ARROYO MAGDALENA,Misiones
523,3318,BONPLAND NORTE,Misiones
524,3322,APARICIO CUE,Misiones
525,3324,GOBERNADOR ROCA,Misiones
526,3326,COLONIA LEIVA,Misiones
527,3327,COLONIA ROCA,Misiones
528,3328,COLONIA JAPONESA,Misiones
529,3332,CAPIOVI,Misiones
530,3334,3 DE MAYO,Misiones
531,3337,ADOLFO J POMAR,Misiones
532,3338,17 DE AGOSTO,Misiones
533,3340,BOQUERON,Corrientes
534,3342,AGUAPEY,Corrientes
535,3344,2 DE JULIO,Corrientes
536,3346,BACACAY,Corrientes
537,3350,APOSTOLES,Misiones
538,3351,AZARA,Misiones
539,3353,ARROYO SANTA MARIA,Misiones
540,3355,ARRECHEA,Misiones
541,3357,BARRA BONITA,Misiones
542,3358,CHEROGUITA,Misiones
543,3360,ARROYO FEDOR,Misiones
544,3361,ACARAGUA,Misiones
545,3362,1 DE MAYO,Misiones
546,3363,25 DE MAYO,Misiones
547,3364,2 DE MAYO,Misiones
548,3366,ALMIRANTE BROWN,Misiones
549,3370,PLANCHADA BANDERITA,Misiones
550,3371,CABURE,Not Found
551,3372,CATARATAS DEL IGUAZU,Not Found
552,3374,EL PORVENIR,Misiones
553,3376,GOBERNADOR LANUSSE,Misiones
554,3378,22 DE DICIEMBRE,Misiones
555,3380,9 DE JULIO KILOMETRO 20,Misiones
556,3381,MARIA MAGDALENA,Misiones
557,3382,COLONIA CUNCI,Misiones
558,3384,BARRANCON,Misiones
559,3386,CARAGUATAY,Misiones
560,3400,BAÑADO NORTE,Corrientes
561,3401,ARROYO PELON,Corrientes
562,3403,AGUIRRE CUE,Corrientes
563,3405,ALGARROBAL PUISOYE,Corrientes
564,3407,AGUAY,Corrientes
565,3409,ARROYO SAN JUAN,Corrientes
566,3412,ALBARDON,Corrientes
567,3414,ABRA,Corrientes
568,3416,ARROYO CEIBAL,Corrientes
569,3418,BARTOLOME MITRE,Corrientes
570,3420,ACUÑA CUE,Corrientes
571,3421,BAJO GUAZU,Corrientes
572,3423,ARAÑITA,Corrientes
573,3425,COSTA GRANDE,Corrientes
574,3427,ABRA,Corrientes
575,3428,ESTACION SALADAS,Corrientes
576,3432,BELLA VISTA,Corrientes
577,3433,CARRIZAL NORTE,Corrientes
578,3440,BARRIO VILLA CORDOBA,Corrientes
579,3441,ALGARROBO,Corrientes
580,3443,COLONIA MENDEZ BAR,Corrientes
581,3445,9 DE JULIO,Corrientes
582,3446,KILOMETRO 374,Corrientes
583,3448,ALAMO,Corrientes
584,3449,BOLICHE LATA,Corrientes
585,3450,8 DE DICIEMBRE,Corrientes
586,3451,BATELITO,Corrientes
587,3453,IFRAN,Corrientes
588,3454,BAÑADO SAN ANTONIO,Corrientes
589,3460,ARROYO CASTILLO,Corrientes
590,3461,ABO NEZU,Corrientes
591,3463,ARISTIA,Corrientes
592,3465,ARROYO CASCO,Corrientes
593,3466,ABALO,Corrientes
594,3470,ARROYO GRANDE,Corrientes
595,3471,ALEN CUE,Corrientes
596,3472,CAAGUAZU,Corrientes
597,3474,CHAVARRIA,Corrientes
598,3476,EL REMANSO,Corrientes
599,3480,ALGARROBAL,Corrientes
600,3481,ANGOSTURA,Corrientes
601,3483,ARROYO BALMACEDA,Corrientes
602,3485,CARANDAITI,Corrientes
603,3486,VILLA OLIVARI,Not Found
604,3487,PUESTO DE ISLA,Not Found
605,3500,COLONIA FLORENCIA,Chaco
606,3501,CAMPO DE GALNASI,Chaco
607,3503,BARRANQUERAS,Chaco
608,3505,ARROYO QUINTANA,Chaco
609,3507,LA EDUVIGIS,Chaco
610,3509,CAMPO EL BERMEJO,Chaco
611,3511,COLONIA CORONEL DORREGO,Chaco
612,3513,ARBOL SOLO,Chaco
613,3514,CACUI,Chaco
614,3515,CAPITAN SOLARI,Chaco
615,3516,BASAIL,Chaco
616,3518,CABRAL CUE,Chaco
617,3522,EL RETIRO,Chaco
618,3524,EL CAMPAMENTO,Chaco
619,3526,GANDOLFI,Formosa
620,3530,ALDEA FORESTAL,Chaco
621,3531,COLONIA ABORIGEN,Chaco
622,3532,CURANDU,Chaco
623,3534,COLONIA EL AGUARA,Chaco
624,3536,BOCAS,Chaco
625,3540,AVANZADA,Chaco
626,3541,CAMPO LAS PUERTAS,Chaco
627,3543,COLONIA LOTE 12,Chaco
